target,correctBase,badBase1,badBase2,badBase3
x=b+a,x-a=b,x+a=b,a-b=x,a-x=b
b-a=x,b=a+x,b=a-x,x=a+b,-a=x+b
b*a=x,b=x/a,b=x*a,x=b/a,b=a/x
x=-a*b,x/-a=b,x*-a=b,x=b/-a,-a/x=b
b/a=x,b=x*a,b=x/a,x=a*b,b=a/x
x=b/-a,-a*x=b,-a/x=b,x=b*-a,a*x=-b
(c+b)*a=x,c+b=x/a,c-b=x/a,c+b=a*x,-c+b=a*x
c+b=x/a,c=x/a-b,c=x/a+b,-c=x/a-b,c=x*a-b
(c-b)*a=x,c-b=x/a,c+b=x/a,c-b=x*a,c-b=x*-a
c-b=x/a,c=b+x/a,c=x/a-b,c=(x+b)/a,c=b-x/a
(c+b)/a=x,c+b=x*a,c-b=x*a,c+b=x/a,c+b=a/x
c+b=a*x,c=a*x-b,c=a/x-b,c=a*x+b,-c=a*x-b
(c-b)/a=x,c-b=x*a,c+b=x*a,c-b=x/a,c-b=-x/a
c-b=x*a,c=b+x*a,c=b-x*a,c=b+x/a,-c=b+x*a
x=b*c+a,x-a=b*c,x+a=b*c,x+b*c=a,x*a=b*c
x-a=c*b,(x-a)/b=c,(x+a)/b=c,(x-a)*b=c,(x-a)/b=-c
c*b-a=x,c*b=x+a,c*b=x-a,a=x-c*b,c*b=a-x
c*b=x-a,c=(x-a)/b,c=b*(x-a),c*b-a=x,c=x-a-b
x=a/b,b*x=a,b=a/x,-b=a/x,b=x/a
-a/b=x,-a=b*x,a=b*x,-a=b/x,-x/b=a
-a=b*x,-a/x=b,a/x=b,a*x=b,x/-a=b
x=c/b+a,x-a=c/b,x+a=c/b,x-a=c*b,x-c=1/b+a
x-a=c/b,(x-a)*b=c,(x-a)/b=c,(x-a)/c=b,x=c/b-a
x=c/b-a,x+a=c/b,x-a=c/b,x+a=c*b,x+c=a/b
-a*b=x,-a=x/b,a=x/b,-a=x*b,-a=b/x
-a=x/b,-a/x=1/b,a/x=1/b,-a*x=1/b,-a/x=b
x=(a*c)/b,x*b=a*c,x/b=a*c,x*b=a/c,a*x=b*c
x*b=a*c,(x*b)/c=a,x/(b/c)=a,x*b*c=a,x*b=a/c
b/c*x=a,b/c=a/x,b*c=a/x,b/c=a*x,b/c=a/-x
x=(a*c)/-b,x*-b=a*c,x*b=a*c,x/-b=a*c,x*-b=a/c
x*-b=a*c,x*-b/c=a,x*-b/c=a,x*-b*c=a,x*-b/c=-a
(-b/c)*x=a,-b/c=a/x,b/c=a/x,-b*c=a/x,-b/c=a*x
x=a/(c+b),x(c+b)=a,x/(c+b)=a,x(c-b)=a,x(c+b)=-a
(c+b)*x=a,c+b=a/x,c-b=a/x,c+b=a*x,c+b=x/a
c+b=a/x,c=a/x-b,-c=a/x-b,c=a*x-b,c=a/x+b
x=a/(c-b),x(c-b)=a,x/(c-b)=a,x(c+b)=a,x(c-b)=-a
(c-b)*x=a,c-b=a/x,c+b=a/x,c-b=a*x,c-b=a+x
c-b=a/x,c=b+a/x,-c=b+a/x,c=b-a/x,c=b+a*x
a/c-b=x,a/c=x+b,a/c=x-b,b+a/c=x,a/c=x*b
a/c=x+b,a=c(x+b),-a=c(x+b),a=c/(x+b),a=c(x-b)
a=c(x+b),a/(x+b)=c,a*(x+b)=c,a/(x-b)=c,a/(x+b)=-c
x=b-a/c,a/c+x=b,a*c+x=b,a/c-x=b,a/c+x=-b
a/c+x=b,a/c=b-x,a*c=b-x,a/c=b+x,-a/c=b+x
a/c=b-x,a=c(b-x),-a=c(b-x),a=c/(b-x),a=c(b+x)
a=c(b-x),a/(b-x)=c,a*(b-x)=c,a/(b+x)=c,a/(b-x)=-c
x=c/(a+b),(a+b)x=c,(a-b)x=c,(a+b)/x=c,(a+b)x=-c
(a+b)x=c,a*x+b*x=c,a/x+b/x=c,a*x-b*x=c,a*x+b*x=-c
c/(1/a-b)=x,c=(1/a-b)x,-c=(1/a-b)x,c=(1/a+b)x,c=(1/a-b)/x
c=(1/a-b)x,c=x/a-b*x,-c=x/a-b*x,c=a*x-b/x,c=x/a+b*x
x=b/(1+a),(1+a)x=b,(1-a)x=b,(1+a)/x=b,(1+a)x=-b
(1+a)x=b,x+a*x=b,x-a*x=b,x+a/x=b,x+a/x=-b
x=b/(a-1),(a-1)x=b,(a+1)x=b,(a-1)/x=b,(a-1)x=-b
(a-1)x=b,x*a-x=b,x*a+x=b,x/a-x=b,x*a-x=-b
x=(d-b)/(a+c),(a+c)x=d-b,(a-c)x=d-b,(a+c)/x=d-b,(a+c)x=d+b
(a+c)x=d-b,a*x+c*x=d-b,a*x-c*x=d-b,a*x+c*x=d+b,a/x+c/x=d-b
a*x+c*x=d-b,a*x+b+c*x=d,a*x-b+c*x=d,a*x+b-c*x=d,a*x+b+c*x=-d
(d+b)/(a-c)=x,d+b=x(a-c),d-b=x(a-c),d+b=x/(a-c),d+b=x(a+c)
d+b=x(a-c),d+b=a*x-x*c,d-b=a*x-c*x,d+b=a*x+c*x,d+b=a/x-c/x
d+b=a*x-x*c,d=a*x-b-x*c,-d=a*x-b-x*c,d=a*x+b-c*x,d=a*x-b+c*x
c/(a-b)=x,c=x(a-b),-c=x(a-b),c=x/(c-b),c=x(c+b)
c=x(a-b),c=a*x-b*x,-c=a*x-b*x,c=a*x+b*x,c=x/a-x/b
c=a*x-b*x,b*x+c=a*x,b*x-c=a*x,b*x*c=a*x,b/x-c=a*x
x=-c/(a-b),x(a-b)=-c,x/(a-b)=-c,x(a+b)=-c,x(a-b)=c
x(a-b)=-c,a*x-b*x=-c,a*x+b*x=-c,x/a-x/b=-c,a*x-b*x=c
a*x-x*b=-c,a*x=-c+x*b,a*x=c+x*b,a*x=-c-x*b,a*x=-c+x/b
x=c-a-b,x+b=c-a,x-b=c-a,x+b=c+a,x-b=c-a
x+b=c-a,a+x+b=c,a-x+b=c,a+x-b=c,-a+x+b=-c